trace_id,zone,kepler_duration_sum_ms,energy_joules,start_energy_joules,end_energy_joules,energy_start_ts,energy_end_ts,exper_name,interval_ms,cpu_ms,sleep_ms,active_interval_ms,idle_scrapping_ms,source_csv
4b03b5afc0b4702093c16f9d70adb004,total,,3.5426319999999976,34.728127,38.270759,2025-11-28T02:03:43.066000+00:00,2025-11-28T02:03:43.708000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
ca1adede2b087d319f2e993e4312b131,total,,3.172235999999998,39.632505,42.804741,2025-11-28T02:03:45.863000+00:00,2025-11-28T02:03:46.515000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
561c850570529d41f9ec5d0f8b949074,total,,2.9104910000000004,44.816302,47.726793,2025-11-28T02:03:48.674000+00:00,2025-11-28T02:03:49.332000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
12759c53439ca9e28dd788d009fc3479,total,,3.1867170000000016,48.728349,51.915066,2025-11-28T02:03:51.461000+00:00,2025-11-28T02:03:52.111000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
038c31f0e45cfc39bd95823824645a92,total,,3.3428240000000002,52.999134,56.341958,2025-11-28T02:03:54.279000+00:00,2025-11-28T02:03:54.909000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
d07bcd0bcd2401c25312265a55202a92,total,,3.339145000000002,59.049958,62.389103,2025-11-28T02:03:57.066000+00:00,2025-11-28T02:03:57.736000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_1/logs/exp1_active.20251128T020401Z_kepler.csv
49168500e4c1c08da809640bb2379765,total,,2.8310429999999993,12.088744,14.919787,2025-11-28T02:10:32.124000+00:00,2025-11-28T02:10:32.767000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_7/logs/exp1_active.20251128T021102Z_kepler.csv
23c9c13ed7e7465e0c902aa07364b309,total,,3.1143529999999977,18.061929000000003,21.176282,2025-11-28T02:10:34.924000+00:00,2025-11-28T02:10:35.562000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_7/logs/exp1_active.20251128T021102Z_kepler.csv
c8834daa0c458571aff0f854116f12eb,total,,3.2091109999999965,27.123121,30.332231999999998,2025-11-28T02:10:37.721000+00:00,2025-11-28T02:10:38.382000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_7/logs/exp1_active.20251128T021102Z_kepler.csv
18477cb3a301aa44bb95707e280c24ab,total,,3.6014469999999967,31.948792,35.550239,2025-11-28T02:10:40.538000+00:00,2025-11-28T02:10:41.210000+00:00,exp1_active,2100.0,625.0,20000.0,1.95312,1000.0,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/625ms_ex/1.95312ms_actscr/exp_7/logs/exp1_active.20251128T021102Z_kepler.csv
