mode,execution_ms,idle_scrapping_ms,active_interval_ms,active_fraction,n_traces,mean_delta_energy_j,std_delta_energy_j,base_dir,source_csv_list
compute,250.0,1000.0,0.09766,0.00039,102,0.970614588235294,0.10305373283373911,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_0/logs/exp1_active.20251121T014006Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_1/logs/exp1_active.20251121T014112Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_2/logs/exp1_active.20251121T014218Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_3/logs/exp1_active.20251121T014324Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_4/logs/exp1_active.20251121T014431Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_5/logs/exp1_active.20251121T014537Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_6/logs/exp1_active.20251121T014643Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_7/logs/exp1_active.20251121T014749Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_8/logs/exp1_active.20251121T014855Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.09766ms_actscr/exp_9/logs/exp1_active.20251121T015002Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/0.09766ms_actscr/exp_0/logs/exp1_active.20251120T235722Z.csv
compute,250.0,1000.0,12.5,0.05,102,0.9229733333333334,0.12445550070878016,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_0/logs/exp1_active.20251121T002251Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_1/logs/exp1_active.20251121T002358Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_2/logs/exp1_active.20251121T002504Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_3/logs/exp1_active.20251121T002610Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_4/logs/exp1_active.20251121T002716Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_5/logs/exp1_active.20251121T002822Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_6/logs/exp1_active.20251121T002928Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_7/logs/exp1_active.20251121T003034Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_8/logs/exp1_active.20251121T003140Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/12.50000ms_actscr/exp_9/logs/exp1_active.20251121T003246Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/12.50000ms_actscr/exp_0/logs/exp1_active.20251120T235152Z.csv
compute,250.0,1000.0,25.0,0.1,100,0.88818347,0.1294534585434051,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_0/logs/exp1_active.20251120T072755Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_1/logs/exp1_active.20251120T072901Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_2/logs/exp1_active.20251120T073007Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_3/logs/exp1_active.20251120T073113Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_4/logs/exp1_active.20251120T073219Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_5/logs/exp1_active.20251120T073325Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_6/logs/exp1_active.20251120T073431Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_7/logs/exp1_active.20251120T073536Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_8/exp1_active.20251118T225715Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/25ms_actscr/exp_9/exp1_active.20251119T200905Z.csv
compute,250.0,1000.0,250.0,1.0,100,0.9267980699999999,0.4496725789280965,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_0/logs/exp1_active.20251120T065236Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_1/logs/exp1_active.20251120T065342Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_2/logs/exp1_active.20251120T065448Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_3/logs/exp1_active.20251120T065554Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_4/logs/exp1_active.20251120T065700Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_5/logs/exp1_active.20251120T065807Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_6/logs/exp1_active.20251120T065913Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_7/logs/exp1_active.20251120T070019Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_8/exp1_active.20251118T225251Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/250ms_actscr/exp_9/exp1_active.20251119T200439Z.csv
compute,250.0,1000.0,6.25,0.025,102,0.9704800490196079,0.1314851648105683,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_0/logs/exp1_active.20251121T003353Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_1/logs/exp1_active.20251121T003459Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_2/logs/exp1_active.20251121T003605Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_3/logs/exp1_active.20251121T003711Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_4/logs/exp1_active.20251121T003817Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_5/logs/exp1_active.20251121T003924Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_6/logs/exp1_active.20251121T004030Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_7/logs/exp1_active.20251121T004136Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_8/logs/exp1_active.20251121T004242Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/6.25000ms_actscr/exp_9/logs/exp1_active.20251121T004348Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/6.25000ms_actscr/exp_0/logs/exp1_active.20251120T235239Z.csv
compute,250.0,1000.0,125.0,0.5,100,0.9420566000000001,0.3111548298600874,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_0/logs/exp1_active.20251120T071016Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_1/logs/exp1_active.20251120T071122Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_2/logs/exp1_active.20251120T071228Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_3/logs/exp1_active.20251120T071334Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_4/logs/exp1_active.20251120T071441Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_5/logs/exp1_active.20251120T071547Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_6/logs/exp1_active.20251120T071653Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_7/logs/exp1_active.20251120T071759Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_8/exp1_active.20251118T225503Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/125ms_actscr/exp_9/exp1_active.20251119T200652Z.csv
compute,250.0,1000.0,0.78125,0.00313,102,0.9709088921568629,0.11257297419747274,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_0/logs/exp1_active.20251121T010700Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_1/logs/exp1_active.20251121T010806Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_2/logs/exp1_active.20251121T010912Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_3/logs/exp1_active.20251121T011018Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_4/logs/exp1_active.20251121T011125Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_5/logs/exp1_active.20251121T011231Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_6/logs/exp1_active.20251121T011337Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_7/logs/exp1_active.20251121T011443Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_8/logs/exp1_active.20251121T011549Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/0.78125ms_actscr/exp_9/logs/exp1_active.20251121T011656Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/0.78125ms_actscr/exp_0/logs/exp1_active.20251120T235500Z.csv
compute,250.0,1000.0,1.5625,0.00625,102,0.9267644705882351,0.10630725040983857,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_0/logs/exp1_active.20251121T005558Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_1/logs/exp1_active.20251121T005704Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_2/logs/exp1_active.20251121T005810Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_3/logs/exp1_active.20251121T005916Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_4/logs/exp1_active.20251121T010023Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_5/logs/exp1_active.20251121T010129Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_6/logs/exp1_active.20251121T010235Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_7/logs/exp1_active.20251121T010341Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_8/logs/exp1_active.20251121T010447Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/1.56250ms_actscr/exp_9/logs/exp1_active.20251121T010554Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/1.56250ms_actscr/exp_0/logs/exp1_active.20251120T235413Z.csv
compute,250.0,1000.0,62.5,0.25,102,0.9647909019607844,0.1761774137540031,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_0/logs/exp1_active.20251121T001150Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_1/logs/exp1_active.20251121T001256Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_2/logs/exp1_active.20251121T001402Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_3/logs/exp1_active.20251121T001508Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_4/logs/exp1_active.20251121T001615Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_5/logs/exp1_active.20251121T001721Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_6/logs/exp1_active.20251121T001827Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_7/logs/exp1_active.20251121T001933Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_8/logs/exp1_active.20251121T002039Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/62.50000ms_actscr/exp_9/logs/exp1_active.20251121T002146Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/62.50000ms_actscr/exp_0/logs/exp1_active.20251120T235104Z.csv
compute,250.0,1000.0,3.0,0.012,100,0.9444409599999998,0.18590370115481408,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle,/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_0/logs/exp1_active.20251120T075846Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_1/logs/exp1_active.20251120T075953Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_2/logs/exp1_active.20251120T080102Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_3/logs/exp1_active.20251120T080208Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_4/logs/exp1_active.20251120T080314Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_5/logs/exp1_active.20251120T080420Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_6/logs/exp1_active.20251120T080527Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_7/logs/exp1_active.20251120T080633Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_8/logs/exp1_active.20251120T080739Z.csv;/home/hanan808/CarbonTracking/experiments/microbenchmark/exp1_active/intel/idles/1s_idle/250ms_ex/tobedeleted/3ms_actscr/exp_9/logs/exp1_active.20251120T080845Z.csv
