,Year,MeanT,MinT,MaxT,P95,P90,P80,P70,P60,P50,P40,P30,P20,P10,P05
37,1974.0,9.90876712328767,-3.4,21.1,18.26,17.0,15.3,13.379999999999999,11.220000000000002,9.5,8.1,6.7,5.3,3.6,1.4599999999999997
38,1975.0,9.154246575342466,-5.3,21.7,17.5,16.7,14.8,13.4,11.220000000000002,8.9,7.0,5.6,3.6,1.5199999999999996,0.05999999999999978
39,1976.0,9.702732240437157,-3.1,19.7,17.375,16.4,15.0,13.4,11.4,9.2,7.5,6.15,5.0,3.1,1.7
40,1977.0,9.792328767123287,-3.4,22.7,19.48,17.24000000000001,15.0,13.3,11.440000000000001,9.5,7.8,6.7,4.88,1.7399999999999998,-0.16000000000000014
41,1978.0,9.961643835616439,-9.0,23.3,19.0,17.660000000000004,15.62,13.879999999999999,11.8,9.9,8.3,6.32,4.68,2.5,1.02
42,1979.0,10.059999999999999,-7.5,22.1,18.6,17.860000000000003,16.22,14.1,12.3,10.3,7.9,6.5,4.7,1.9,0.4399999999999999
43,1980.0,9.833333333333334,-8.3,20.7,17.175,16.25,14.9,13.6,12.3,10.8,8.8,6.85,5.2,2.6,0.65
44,1981.0,10.464931506849315,-2.7,23.9,19.240000000000006,17.820000000000004,15.6,13.8,11.64,9.6,8.4,7.44,5.8,3.9,2.2
45,1982.0,9.62082191780822,-8.7,21.8,18.78,17.46,15.82,13.679999999999998,11.5,9.3,6.9,5.720000000000001,4.3,2.3,0.5199999999999999
46,1983.0,10.397534246575344,-8.2,22.4,18.2,17.2,15.719999999999999,14.179999999999998,11.8,10.1,8.86,7.720000000000001,6.279999999999999,4.02,1.14
47,1984.0,9.792622950819673,-6.8,21.7,18.575000000000003,17.25,15.4,13.2,11.1,9.1,8.1,6.9,5.4,2.8499999999999996,0.25
48,1985.0,8.935616438356165,-11.5,21.6,19.28,18.0,15.42,13.479999999999999,11.0,9.1,6.7,4.920000000000001,3.2,0.13999999999999987,-1.5
49,1986.0,10.45123287671233,-5.4,22.0,18.78,17.7,16.1,13.8,11.7,9.6,8.4,7.3,6.0,3.9,1.92
50,1987.0,11.028219178082193,-1.4,22.9,19.1,18.0,16.32,14.579999999999998,12.9,10.9,9.3,8.1,6.279999999999999,3.6,1.8
51,1988.0,10.502185792349728,-4.3,23.6,18.5,17.85,16.0,13.7,12.0,10.149999999999999,8.2,7.05,6.0,3.6,2.0
52,1989.0,10.203835616438354,-9.1,20.2,18.28,17.4,16.3,14.6,12.8,10.6,8.26,6.3,4.779999999999999,2.3,0.5
53,1990.0,10.265753424657534,-10.7,25.1,19.78,18.46,16.419999999999998,14.8,12.08,10.3,8.26,6.4,4.68,2.5799999999999996,-0.040000000000000924
54,1991.0,10.193424657534246,-6.0,22.3,19.1,17.7,15.6,13.8,12.14,10.3,8.2,6.6,5.3,2.9799999999999995,0.8
55,1992.0,11.139779005524863,-6.2,22.6,19.294999999999998,18.490000000000002,16.8,14.9,13.1,10.850000000000001,9.2,7.8,6.220000000000001,4.220000000000001,2.2
56,1993.0,10.0621387283237,-8.9,23.3,18.475,17.6,16.0,14.7,12.7,10.75,8.3,6.8,5.1,1.5,-1.6
57,1994.0,10.804109589041095,-3.8,22.7,19.3,17.96,16.32,14.8,13.040000000000001,10.6,8.8,7.32,5.38,3.6799999999999997,1.8
58,1995.0,11.09612188365651,-3.5,22.6,19.0,17.8,16.8,15.199999999999994,13.5,11.0,9.5,7.6,6.0,3.8,1.6
59,1996.0,9.773553719008264,-9.2,22.0,19.4,17.640000000000004,15.780000000000006,13.7,12.12,10.0,8.2,6.659999999999999,4.6,1.5,-0.7899999999999999
60,1997.0,10.797534246575342,-5.2,21.6,19.16,18.26,16.72,15.179999999999998,12.9,10.1,8.3,6.9,5.279999999999999,3.64,2.6399999999999997
61,1998.0,11.353972602739725,-6.1,25.9,20.080000000000002,19.3,17.0,15.179999999999998,12.840000000000002,10.8,9.0,7.840000000000001,6.859999999999999,4.8,3.6399999999999997
62,1999.0,10.286575342465754,1.5,20.8,19.1,17.660000000000004,15.12,13.479999999999999,11.14,9.3,7.8,6.8,5.4799999999999995,4.34,3.4
63,2000.0,10.131420765027324,-2.2,21.3,18.3,17.5,15.8,13.849999999999998,11.5,10.0,8.2,6.4,4.7,2.95,2.0
64,2001.0,10.257534246575341,0.1,20.6,18.26,17.0,15.8,14.2,11.9,9.9,8.2,6.4,5.0,3.4,2.6
65,2002.0,10.352472527472528,-3.0,22.4,19.284999999999997,18.07,16.3,14.2,12.079999999999998,9.75,8.320000000000002,6.6899999999999995,5.0600000000000005,3.1300000000000003,1.7300000000000004
66,2003.0,10.961643835616439,-0.9,22.2,19.78,19.1,17.02,15.1,13.0,10.2,8.6,6.9,5.3,3.54,2.12
67,2004.0,11.451639344262293,-7.8,23.8,20.6,19.35,17.3,14.4,13.1,11.3,9.4,7.4,6.2,4.5,3.225
68,2005.0,10.857534246575344,-5.6,22.5,19.5,18.26,16.8,14.879999999999999,13.040000000000001,11.4,9.159999999999998,7.6,5.779999999999999,2.3,0.7799999999999997
69,2006.0,10.697534246575344,-8.2,24.4,19.0,17.96,16.6,14.979999999999999,12.2,10.3,8.4,6.920000000000001,5.6,3.8,2.1399999999999997
70,2007.0,10.247671232876712,-5.3,23.1,18.9,18.0,16.7,13.7,11.6,9.9,8.459999999999999,6.720000000000001,4.88,2.64,1.5399999999999998
71,2008.0,9.85191256830601,-10.3,23.3,18.975,17.75,15.9,13.8,11.5,9.350000000000001,7.8,6.5,4.8,2.6500000000000004,0.4
72,2009.0,10.26986301369863,-2.8,28.4,19.66,18.660000000000004,17.1,15.28,11.74,9.7,7.6,5.920000000000001,4.2,1.8399999999999999,0.23999999999999988
73,2010.0,11.002465753424659,-6.4,23.4,18.88,17.660000000000004,15.82,14.479999999999999,12.340000000000002,10.5,9.1,7.82,6.6,5.08,3.32
74,2011.0,9.957534246575342,-4.4,21.9,18.78,17.8,16.62,14.3,11.4,9.0,7.46,6.4,4.779999999999999,2.4,0.94
75,2012.0,10.370765027322404,-5.7,23.0,19.15,18.0,15.7,13.849999999999998,12.2,10.350000000000001,8.2,6.5,4.9,3.2,2.5
76,2013.0,10.304735376044567,-12.9,29.5,24.209999999999997,21.62,18.0,15.059999999999999,12.759999999999996,10.2,7.7200000000000015,5.639999999999999,3.960000000000001,-0.4,-3.889999999999998
77,2014.0,7.483013698630137,-20.8,26.2,22.98,21.160000000000004,18.8,16.859999999999996,13.74,8.6,4.379999999999998,0.8,-3.0,-9.760000000000002,-13.22
78,2015.0,8.645753424657537,-22.3,27.5,23.7,22.120000000000005,19.6,17.38,13.98,10.1,6.579999999999998,2.72,-1.8000000000000014,-9.180000000000001,-12.18
79,2016.0,10.087704918032786,-21.2,30.5,26.0,24.25,21.7,18.399999999999995,14.5,9.2,6.2,2.85,-0.2,-4.25,-7.45
80,2017.0,9.336813186813188,-18.6,26.9,23.4,22.1,19.94,17.1,13.78,9.8,6.120000000000002,3.2,0.02000000000000171,-5.14,-8.2
81,2018.0,9.12589531680441,-20.0,29.1,25.49,24.16,21.560000000000002,18.0,13.219999999999999,7.3,3.4800000000000013,0.9599999999999994,-1.0,-3.4599999999999995,-8.08
82,2019.0,8.18434065934066,-19.0,27.6,23.7,22.3,19.7,16.509999999999998,11.539999999999996,8.35,4.620000000000002,1.489999999999999,-1.6399999999999992,-6.64,-9.9
83,2020.0,9.763934426229508,-14.9,28.4,25.1,23.85,20.8,16.199999999999996,12.2,8.350000000000001,5.3,2.6,0.5,-2.75,-5.074999999999999
84,2021.0,10.323529411764707,-11.5,27.5,25.72,23.44,20.4,18.04,14.8,10.2,6.8,3.2,0.5,-3.4799999999999995,-6.84
85,2022.0,9.283426966292133,-17.1,28.4,24.725,22.700000000000003,20.8,18.1,13.6,10.1,6.2,1.8,-0.9,-6.25,-10.025
86,2023.0,10.105769230769232,-16.3,27.0,23.184999999999995,22.0,19.7,17.8,14.6,9.1,6.0,3.1,1.2,-1.3699999999999994,-3.4699999999999998
87,2024.0,10.542465753424658,-12.8,28.7,23.68,22.560000000000002,20.3,17.68,14.9,10.6,6.56,4.640000000000001,1.5599999999999994,-1.9800000000000004,-4.7
88,2025.0,9.154794520547945,-14.0,30.2,25.4,23.060000000000002,20.22,17.759999999999998,13.9,9.0,5.56,1.8400000000000005,-2.1200000000000006,-5.92,-7.5
